47.31,51.35,43.57,54.72,44.35,56.73,67.37,63.57
61.01,59.84,51.9,59.39,57.9,72.84,73.95,73.23
68.02,63.86,58.07,66.32,61.33,79.67,84.18,86.93
76.04,70.28,65.41,72.84,69.08,83.91,88.38,92.88
76.86,71.4,65.53,75.43,70.62,85.13,92.68,93.16
